station;date;cast;Sample number;Timestamp [UTC] ;Latitude;Longitude;     Tiefe ;Chla  fluor.;POC
S3;17.09.18;MSM77_3-1;MSM77_001;17.09.22 20:57;78ｰ 36,988' N;005ｰ 04,081' E;5;0,461;147,41
S3;17.09.18;MSM77_3-1;MSM77_002;17.09.22 20:57;78ｰ 36,988' N;005ｰ 04,081' E;12;0,504;125,80
S3;17.09.18;MSM77_3-1;MSM77_003;17.09.22 20:57;78ｰ 36,988' N;005ｰ 04,081' E;22;0,600;122,87
S3;17.09.18;MSM77_3-1;MSM77_004;17.09.22 20:57;78ｰ 36,988' N;005ｰ 04,081' E;40;0,157;67,06
S3;17.09.18;MSM77_3-1;MSM77_005;17.09.22 20:57;78ｰ 36,988' N;005ｰ 04,081' E;100;0,024;42,76
HG4;18.09.18;MSM77_4-3;MSM77_006;18.09.22 17:36;79ｰ 03,551' N;004ｰ 12,013' E;5;1,366;204,28
HG4;18.09.18;MSM77_4-3;MSM77_007;18.09.22 17:36;79ｰ 03,551' N;004ｰ 12,013' E;12;0,978;197,85
HG4;18.09.18;MSM77_4-3;MSM77_008;18.09.22 17:36;79ｰ 03,551' N;004ｰ 12,013' E;25;0,548;105,13
HG4;18.09.18;MSM77_4-3;MSM77_009;18.09.22 17:36;79ｰ 03,551' N;004ｰ 12,013' E;40;0,139;58,65
HG4;18.09.18;MSM77_4-3;MSM77_010;18.09.22 17:36;79ｰ 03,551' N;004ｰ 12,013' E;100;0,045;41,23
HG6;19.09.18;MSM77_6-1;MSM77_015;19.09.22 09:17;79ｰ 03,601' N;003ｰ 34,944' E;5;1,253;196,11
HG6;19.09.18;MSM77_6-1;MSM77_016;19.09.22 09:17;79ｰ 03,601' N;003ｰ 34,944' E;12;1,214;196,60
HG6;19.09.18;MSM77_6-1;MSM77_017;19.09.22 09:17;79ｰ 03,601' N;003ｰ 34,944' E;20;1,212;177,08
HG6;19.09.18;MSM77_6-1;MSM77_018;19.09.22 09:17;79ｰ 03,601' N;003ｰ 34,944' E;30;0,166;88,66
HG6;19.09.18;MSM77_6-1;MSM77_019;19.09.22 09:17;79ｰ 03,601' N;003ｰ 34,944' E;100;0,046;39,15
HG3;20.09.18;MSM77_8-1;MSM77_020;20.09.22 05:03;79ｰ 06,483' N;004ｰ 36,033' E;5;0,427;98,26
HG3;20.09.18;MSM77_8-1;MSM77_021;20.09.22 05:03;79ｰ 06,483' N;004ｰ 36,033' E;15;0,461;95,86
HG3;20.09.18;MSM77_8-1;MSM77_022;20.09.22 05:03;79ｰ 06,483' N;004ｰ 36,033' E;26;0,409;109,50
HG3;20.09.18;MSM77_8-1;MSM77_023;20.09.22 05:03;79ｰ 06,483' N;004ｰ 36,033' E;50;0,151;164,14
HG3;20.09.18;MSM77_8-1;MSM77_024;20.09.22 05:03;79ｰ 06,483' N;004ｰ 36,033' E;100;0,046;35,64
HG2;21.09.18;MSM77_12-1;MSM77_025;21.09.22 07:03;79ｰ 07,816' N;004ｰ 54,162' E;5;0,549;126,25
HG2;21.09.18;MSM77_12-1;MSM77_026;21.09.22 07:03;79ｰ 07,816' N;004ｰ 54,162' E;12;0,488;83,11
HG2;21.09.18;MSM77_12-1;MSM77_027;21.09.22 07:03;79ｰ 07,816' N;004ｰ 54,162' E;25;0,506;91,20
HG2;21.09.18;MSM77_12-1;MSM77_028;21.09.22 07:03;79ｰ 07,816' N;004ｰ 54,162' E;40;0,398;32,92
HG2;21.09.18;MSM77_12-1;MSM77_029;21.09.22 07:03;79ｰ 07,816' N;004ｰ 54,162' E;100;0,031;21,57
HG1;21.09.18;MSM77_13-1;MSM77_030;21.09.22 16:11;79ｰ 08,002' N;006ｰ 05,546' E;5;0,323;78,20
HG1;21.09.18;MSM77_13-1;MSM77_031;21.09.22 16:11;79ｰ 08,002' N;006ｰ 05,546' E;13;0,514;90,80
HG1;21.09.18;MSM77_13-1;MSM77_032;21.09.22 16:11;79ｰ 08,002' N;006ｰ 05,546' E;21;0,454;85,48
HG1;21.09.18;MSM77_13-1;MSM77_033;21.09.22 16:11;79ｰ 08,002' N;006ｰ 05,546' E;50;0,164;30,98
HG1;21.09.18;MSM77_13-1;MSM77_034;21.09.22 16:11;79ｰ 08,002' N;006ｰ 05,546' E;100;0,021;26,54
SV4;22.09.18;MSM77_17-1;MSM77_038;22.09.22 22:26;79ｰ 01,793' N;006ｰ 59,666' E;5;0,697;95,85
SV4;22.09.18;MSM77_17-1;MSM77_039;22.09.22 22:26;79ｰ 01,793' N;006ｰ 59,666' E;14;0,677;98,47
SV4;22.09.18;MSM77_17-1;MSM77_040;22.09.22 22:26;79ｰ 01,793' N;006ｰ 59,666' E;25;0,670;115,61
SV4;22.09.18;MSM77_17-1;MSM77_041;22.09.22 22:26;79ｰ 01,793' N;006ｰ 59,666' E;40;0,305;46,78
SV4;22.09.18;MSM77_17-1;MSM77_042;22.09.22 22:26;79ｰ 01,793' N;006ｰ 59,666' E;100;0,019;22,52
SV3;23.09.18;MSM77_19-1;MSM77_043;23.09.22 12:55;78ｰ 59,995' N;008ｰ 15,004' E;5;0,293;54,96
SV3;23.09.18;MSM77_19-1;MSM77_044;23.09.22 12:55;78ｰ 59,995' N;008ｰ 15,004' E;15;0,595;67,55
SV3;23.09.18;MSM77_19-1;MSM77_045;23.09.22 12:55;78ｰ 59,995' N;008ｰ 15,004' E;35;0,299;61,15
SV3;23.09.18;MSM77_19-1;MSM77_046;23.09.22 12:55;78ｰ 59,995' N;008ｰ 15,004' E;65;0,314;34,13
SV3;23.09.18;MSM77_19-1;MSM77_047;23.09.22 12:55;78ｰ 59,995' N;008ｰ 15,004' E;100;0,027;21,05
SV2;24.09.18;MSM77_22-1;MSM77_048;24.09.22 00:16;78ｰ 58,809' N;009ｰ 30,839' E;5;0,979;166,38
SV2;24.09.18;MSM77_22-1;MSM77_049;24.09.22 00:16;78ｰ 58,809' N;009ｰ 30,839' E;12;0,767;94,41
SV2;24.09.18;MSM77_22-1;MSM77_050;24.09.22 00:16;78ｰ 58,809' N;009ｰ 30,839' E;20;0,190;46,73
SV2;24.09.18;MSM77_22-1;MSM77_051;24.09.22 00:16;78ｰ 58,809' N;009ｰ 30,839' E;50;0,102;30,89
SV2;24.09.18;MSM77_22-1;MSM77_052;24.09.22 00:16;78ｰ 58,809' N;009ｰ 30,839' E;100;0,029;24,87
SV1;24.09.18;MSM77_24-1;MSM77_053;24.09.22 04:39;79ｰ 01,705' N;011ｰ 05,172' E;5;0,596;105,39
SV1;24.09.18;MSM77_24-1;MSM77_054;24.09.22 04:39;79ｰ 01,705' N;011ｰ 05,172' E;15;0,720;97,44
SV1;24.09.18;MSM77_24-1;MSM77_055;24.09.22 04:39;79ｰ 01,705' N;011ｰ 05,172' E;37;0,276;62,10
SV1;24.09.18;MSM77_24-1;MSM77_056;24.09.22 04:39;79ｰ 01,705' N;011ｰ 05,172' E;60;0,063;25,16
SV1;24.09.18;MSM77_24-1;MSM77_057;24.09.22 04:39;79ｰ 01,705' N;011ｰ 05,172' E;100;0,038;35,31
NSB_1;25.09.18;MSM77_29-1;MSM77_058;25.09.22 02:15;80ｰ 18,008' N;013ｰ 59,951' E;5;0,572;64,20
NSB_1;25.09.18;MSM77_29-1;MSM77_059;25.09.22 02:15;80ｰ 18,008' N;013ｰ 59,951' E;20;0,457;70,48
NSB_1;25.09.18;MSM77_29-1;MSM77_060;25.09.22 02:15;80ｰ 18,008' N;013ｰ 59,951' E;30;0,467;73,08
NSB_1;25.09.18;MSM77_29-1;MSM77_061;25.09.22 02:15;80ｰ 18,008' N;013ｰ 59,951' E;50;0,261;53,49
NSB_1;25.09.18;MSM77_29-1;MSM77_062;25.09.22 02:15;80ｰ 18,008' N;013ｰ 59,951' E;75;0,091;35,40
HG5;29.09.18;MSM77_36-1;MSM77_063;29.09.22 00:06;79ｰ 03,788' N;003ｰ 39,573' E;5;0,499;74,82
HG5;29.09.18;MSM77_36-1;MSM77_064;29.09.22 00:06;79ｰ 03,788' N;003ｰ 39,573' E;15;0,558;75,35
HG5;29.09.18;MSM77_36-1;MSM77_065;29.09.22 00:06;79ｰ 03,788' N;003ｰ 39,573' E;35;0,932;78,91
HG5;29.09.18;MSM77_36-1;MSM77_066;29.09.22 00:06;79ｰ 03,788' N;003ｰ 39,573' E;65;0,039;33,62
HG5;29.09.18;MSM77_36-1;MSM77_067;29.09.22 00:06;79ｰ 03,788' N;003ｰ 39,573' E;100;0,026;31,12
HG7;29.09.18;MSM77_37-1;MSM77_068;29.09.22 00:59;79ｰ 03,610' N;003ｰ 28,627' E;8;0,514;62,42
HG7;29.09.18;MSM77_37-1;MSM77_069;29.09.22 00:59;79ｰ 03,610' N;003ｰ 28,627' E;16;0,667;66,31
HG7;29.09.18;MSM77_37-1;MSM77_070;29.09.22 00:59;79ｰ 03,610' N;003ｰ 28,627' E;37;0,413;62,27
HG7;29.09.18;MSM77_37-1;MSM77_071;29.09.22 00:59;79ｰ 03,610' N;003ｰ 28,627' E;62;0,183;34,31
HG7;29.09.18;MSM77_37-1;MSM77_072;29.09.22 00:59;79ｰ 03,610' N;003ｰ 28,627' E;102;0,035;35,57
HG8;30.09.18;MSM77_40-1;MSM77_073;30.09.22 18:10;79ｰ 03,869' N;003ｰ 20,243' E;5;0,081;56,04
HG8;30.09.18;MSM77_40-1;MSM77_074;30.09.22 18:10;79ｰ 03,869' N;003ｰ 20,243' E;22;0,415;55,28
HG8;30.09.18;MSM77_40-1;MSM77_075;30.09.22 18:10;79ｰ 03,869' N;003ｰ 20,243' E;45;0,427;63,08
HG8;30.09.18;MSM77_40-1;MSM77_076;30.09.22 18:10;79ｰ 03,869' N;003ｰ 20,243' E;65;0,609;53,23
HG8;30.09.18;MSM77_40-1;MSM77_077;30.09.22 18:10;79ｰ 03,869' N;003ｰ 20,243' E;100;0,286;42,89
HG9;30.09.18;MSM77_41-1;MSM77_078;30.09.22 22:54;79ｰ 07,991' N;002ｰ 49,754' E;5;0,284;49,32
HG9;30.09.18;MSM77_41-1;MSM77_079;30.09.22 22:54;79ｰ 07,991' N;002ｰ 49,754' E;11;0,306;47,39
HG9;30.09.18;MSM77_41-1;MSM77_080;30.09.22 22:54;79ｰ 07,991' N;002ｰ 49,754' E;32;0,280;53,53
HG9;30.09.18;MSM77_41-1;MSM77_081;30.09.22 22:54;79ｰ 07,991' N;002ｰ 49,754' E;62;0,240;45,79
HG9;30.09.18;MSM77_41-1;MSM77_082;30.09.22 22:54;79ｰ 07,991' N;002ｰ 49,754' E;112;0,033;21,71
D1;01.10.18;MSM77_44-1;MSM77_083;01.10.22 23:59;78ｰ 59,985' N;001ｰ 30,078' E;5;0,408;64,67
D1;01.10.18;MSM77_44-1;MSM77_084;01.10.22 23:59;78ｰ 59,985' N;001ｰ 30,078' E;11;0,405;64,43
D1;01.10.18;MSM77_44-1;MSM77_085;01.10.22 23:59;78ｰ 59,985' N;001ｰ 30,078' E;26;0,330;61,22
D1;01.10.18;MSM77_44-1;MSM77_086;01.10.22 23:59;78ｰ 59,985' N;001ｰ 30,078' E;54;0,274;53,62
D1;01.10.18;MSM77_44-1;MSM77_087;01.10.22 23:59;78ｰ 59,985' N;001ｰ 30,078' E;100;0,026;18,45
D4_2;02.10.18;MSM77_46-4;MSM77_092;02.10.22 19:38;78ｰ 32,959' N;001ｰ 50,217' W;5;0,500;87,11
D4_2;02.10.18;MSM77_46-4;MSM77_093;02.10.22 19:38;78ｰ 32,959' N;001ｰ 50,217' W;12;0,607;93,53
D4_2;02.10.18;MSM77_46-4;MSM77_094;02.10.22 19:38;78ｰ 32,959' N;001ｰ 50,217' W;32;0,409;82,08
D4_2;02.10.18;MSM77_46-4;MSM77_095;02.10.22 19:38;78ｰ 32,959' N;001ｰ 50,217' W;52;0,449;70,41
D4_2;02.10.18;MSM77_46-4;MSM77_096;02.10.22 19:38;78ｰ 32,959' N;001ｰ 50,217' W;102;0,145;32,29
D3;03.10.18;MSM77_47-1;MSM77_097;03.10.22 02:37;78ｰ 45,002' N;000ｰ 52,965' W;5;0,362;
D3;03.10.18;MSM77_47-1;MSM77_098;03.10.22 02:37;78ｰ 45,002' N;000ｰ 52,965' W;15;0,383;
D3;03.10.18;MSM77_47-1;MSM77_099;03.10.22 02:37;78ｰ 45,002' N;000ｰ 52,965' W;30;0,362;
D3;03.10.18;MSM77_47-1;MSM77_100;03.10.22 02:37;78ｰ 45,002' N;000ｰ 52,965' W;50;0,343;
D3;03.10.18;MSM77_47-1;MSM77_101;03.10.22 02:37;78ｰ 45,002' N;000ｰ 52,965' W;100;0,285;
D2;03.10.18;MSM77_48-1;MSM77_102;03.10.22 08:13;78ｰ 52,989' N;000ｰ 18,039' E;5;0,600;
D2;03.10.18;MSM77_48-1;MSM77_103;03.10.22 08:13;78ｰ 52,989' N;000ｰ 18,039' E;18;0,814;
D2;03.10.18;MSM77_48-1;MSM77_104;03.10.22 08:13;78ｰ 52,989' N;000ｰ 18,039' E;30;0,331;
D2;03.10.18;MSM77_48-1;MSM77_105;03.10.22 08:13;78ｰ 52,989' N;000ｰ 18,039' E;50;0,119;
D2;03.10.18;MSM77_48-1;MSM77_106;03.10.22 08:13;78ｰ 52,989' N;000ｰ 18,039' E;100;0,245;
N5;04.10.18;MSM77_52-1;MSM77_107;04.10.22 19:39;79ｰ 56,295' N;003ｰ 10,999' E;5;0,250;51,72
N5;04.10.18;MSM77_52-1;MSM77_108;04.10.22 19:39;79ｰ 56,295' N;003ｰ 10,999' E;13;0,252;51,09
N5;04.10.18;MSM77_52-1;MSM77_109;04.10.22 19:39;79ｰ 56,295' N;003ｰ 10,999' E;30;0,212;48,40
N5;04.10.18;MSM77_52-1;MSM77_110;04.10.22 19:39;79ｰ 56,295' N;003ｰ 10,999' E;50;0,062;21,88
N5;04.10.18;MSM77_52-1;MSM77_111;04.10.22 19:39;79ｰ 56,295' N;003ｰ 10,999' E;100;0,138;27,14
N4;05.10.18;MSM77_53-3;MSM77_116;05.10.22 11:41;79ｰ 44,184' N;004ｰ 29,110' E;5;0,172;30,71
N4;05.10.18;MSM77_53-3;MSM77_117;05.10.22 11:41;79ｰ 44,184' N;004ｰ 29,110' E;20;0,164;32,82
N4;05.10.18;MSM77_53-3;MSM77_118;05.10.22 11:41;79ｰ 44,184' N;004ｰ 29,110' E;32;0,133;34,66
N4;05.10.18;MSM77_53-3;MSM77_119;05.10.22 11:41;79ｰ 44,184' N;004ｰ 29,110' E;50;0,140;33,84
N4;05.10.18;MSM77_53-3;MSM77_120;05.10.22 11:41;79ｰ 44,184' N;004ｰ 29,110' E;100;0,196;50,85
N3;05.10.18;MSM77_54-1;MSM77_121;05.10.22 19:13;79ｰ 36,230' N;005ｰ 10,371' E;5;0,214;39,89
N3;05.10.18;MSM77_54-1;MSM77_122;05.10.22 19:13;79ｰ 36,230' N;005ｰ 10,371' E;12;0,188;37,42
N3;05.10.18;MSM77_54-1;MSM77_123;05.10.22 19:13;79ｰ 36,230' N;005ｰ 10,371' E;34;0,167;38,69
N3;05.10.18;MSM77_54-1;MSM77_124;05.10.22 19:13;79ｰ 36,230' N;005ｰ 10,371' E;46;0,238;44,61
N3;05.10.18;MSM77_54-1;MSM77_125;05.10.22 19:13;79ｰ 36,230' N;005ｰ 10,371' E;100;0,238;37,68